gallery_scale_projects,concurrency,request_index,query_id,success,client_latency_ms,gallery_components,search_ms,reconstruction_ms,server_total_ms,error
20,1,138,Q6K00331,True,6.211,16282,4.0781,0.6545,4.7383,
20,1,139,Q6K00513,True,7.0247,16282,4.8841,0.6516,5.5426,
20,1,140,Q6K00278,True,5.9814,16282,4.0201,0.6278,4.6541,
20,1,141,Q6K00326,True,6.0061,16282,4.2176,0.5682,4.7915,
20,1,142,Q6K00477,True,6.0586,16282,4.2296,0.648,4.8831,
20,1,143,Q6K00386,True,5.9062,16282,4.026,0.6297,4.6656,
20,1,144,Q6K00305,True,6.1911,16282,4.1513,0.7129,4.8697,
20,1,145,Q6K00231,True,5.7462,16282,3.9159,0.5899,4.5113,
20,1,146,Q6K00277,True,5.975,16282,3.9166,0.7009,4.6232,
20,1,147,Q6K00531,True,5.7145,16282,3.8577,0.5894,4.4522,
20,1,148,Q6K00353,True,6.0821,16282,4.0893,0.7159,4.8115,
20,1,149,Q6K00286,True,6.4892,16282,4.3129,0.6958,5.0148,
20,1,150,Q6K00306,True,6.1983,16282,3.9749,0.7787,4.7593,
20,1,151,Q6K00525,True,26.7969,16282,4.149,0.5981,4.7547,
20,1,152,Q6K00461,True,31.5165,16282,5.3688,0.7425,6.1191,
20,1,153,Q6K00349,True,33.39,16282,7.1409,0.7219,7.8711,
20,1,154,Q6K00475,True,6.3756,16282,3.8329,0.9831,4.8225,
20,1,155,Q6K00195,True,21.116,16282,5.339,0.6078,5.9541,
20,1,156,Q6K00262,True,6.5806,16282,4.3702,0.7702,5.1467,
20,1,157,Q6K00319,True,6.2449,16282,4.1566,0.6691,4.8317,
20,1,158,Q6K00469,True,16.4663,16282,4.1751,0.5678,4.7493,
20,1,159,Q6K00350,True,36.8165,16282,8.6788,0.7343,9.4227,
20,1,160,Q6K00256,True,27.9233,16282,5.775,0.7468,6.5288,
20,1,161,Q6K00236,True,6.5771,16282,4.0981,0.6615,4.7664,
20,1,162,Q6K00527,True,6.6184,16282,4.0874,0.6611,4.755,
20,1,163,Q6K00334,True,29.4633,16282,4.44,0.7059,5.1538,
20,1,164,Q6K00197,True,6.2519,16282,4.051,0.7429,4.8,
20,1,165,Q6K00432,True,6.9726,16282,4.7006,0.7365,5.4518,
20,1,166,Q6K00414,True,6.2737,16282,3.9941,0.6812,4.6813,
20,1,167,Q6K00421,True,27.5548,16282,4.991,0.6324,5.6309,
20,1,168,Q6K00387,True,6.3418,16282,4.1079,0.702,4.8162,
20,1,169,Q6K00462,True,5.9567,16282,4.0517,0.6228,4.6801,
20,1,170,Q6K00402,True,17.8523,16282,4.6003,0.6792,5.2874,
20,1,171,Q6K00431,True,5.9357,16282,3.9191,0.5755,4.5004,
20,1,172,Q6K00292,True,6.1431,16282,4.2199,0.6389,4.8646,
20,1,173,Q6K00355,True,6.4329,16282,4.2171,0.8059,5.0313,
20,1,174,Q6K00389,True,27.1238,16282,4.2169,0.6064,4.8299,
20,1,175,Q6K00461,True,6.1547,16282,4.0015,0.6735,4.6846,
20,1,176,Q6K00329,True,6.4115,16282,4.245,0.6637,4.9147,
20,1,177,Q6K00187,True,18.1769,16282,3.8725,0.5969,4.4757,
20,1,178,Q6K00319,True,17.0519,16282,4.2174,0.6868,4.911,
20,1,179,Q6K00246,True,31.459,16282,4.487,0.6335,5.1287,
20,1,180,Q6K00353,True,7.2654,16282,4.5395,0.8147,5.3614,
20,1,181,Q6K00393,True,6.6497,16282,4.0388,0.5954,4.6402,
20,1,182,Q6K00237,True,31.7314,16282,4.4737,0.6323,5.1141,
20,1,183,Q6K00352,True,6.0203,16282,3.8878,0.6311,4.5257,
20,1,184,Q6K00283,True,6.5955,16282,4.3508,0.729,5.0867,
20,1,185,Q6K00533,True,6.0231,16282,3.8981,0.5708,4.4747,
20,1,186,Q6K00417,True,6.3074,16282,4.038,0.5967,4.6403,
20,1,187,Q6K00515,True,22.4104,16282,5.1839,0.796,5.9957,
20,1,188,Q6K00336,True,30.4936,16282,4.2465,0.7627,5.0166,
20,1,189,Q6K00404,True,6.5074,16282,4.1928,0.6079,4.8072,
20,1,190,Q6K00512,True,6.309,16282,4.1458,0.7218,4.8732,
20,1,191,Q6K00458,True,6.0002,16282,4.0272,0.5834,4.6162,
